FID IID POP
HG02147 HG02147 AMR
HG02150 HG02150 AMR
HG02151 HG02151 EAS
HG02152 HG02152 EAS
HG02153 HG02153 EAS
HG02154 HG02154 EAS
HG02155 HG02155 EAS
HG02156 HG02156 EAS
HG02164 HG02164 EAS
HG02165 HG02165 EAS
HG02166 HG02166 EAS
HG02178 HG02178 EAS
HG02179 HG02179 EAS
HG02180 HG02180 EAS
HG02181 HG02181 EAS
HG02182 HG02182 EAS
HG02184 HG02184 EAS
HG02185 HG02185 EAS
HG02186 HG02186 EAS
HG02187 HG02187 EAS
HG02188 HG02188 EAS
HG02190 HG02190 EAS
HG02215 HG02215 EUR
HG02219 HG02219 EUR
HG02220 HG02220 EUR
HG02221 HG02221 EUR
HG02223 HG02223 EUR
HG02224 HG02224 EUR
HG02230 HG02230 EUR
HG02231 HG02231 EUR
HG02232 HG02232 EUR
HG02233 HG02233 EUR
HG02235 HG02235 EUR
HG02236 HG02236 EUR
HG02238 HG02238 EUR
HG02239 HG02239 EUR
HG02250 HG02250 EAS
HG02252 HG02252 AMR
HG02253 HG02253 AMR
HG02255 HG02255 AFR
HG02256 HG02256 AFR
HG02259 HG02259 AMR
HG02260 HG02260 AMR
HG02262 HG02262 AMR
HG02265 HG02265 AMR
HG02266 HG02266 AMR
HG02271 HG02271 AMR
HG02272 HG02272 AMR
HG02274 HG02274 AMR
HG02275 HG02275 AMR
HG02277 HG02277 AMR
HG02278 HG02278 AMR
HG02281 HG02281 AFR
HG02282 HG02282 AFR
HG02283 HG02283 AFR
HG02284 HG02284 AFR
HG02285 HG02285 AMR
HG02286 HG02286 AMR
HG02291 HG02291 AMR
HG02292 HG02292 AMR
HG02298 HG02298 AMR
HG02299 HG02299 AMR
HG02301 HG02301 AMR
HG02304 HG02304 AMR
HG02307 HG02307 AFR
HG02308 HG02308 AFR
HG02309 HG02309 AFR
HG02312 HG02312 AMR
HG02314 HG02314 AFR
HG02315 HG02315 AFR
HG02317 HG02317 AFR
HG02318 HG02318 AFR
HG02322 HG02322 AFR
HG02323 HG02323 AFR
HG02325 HG02325 AFR
HG02330 HG02330 AFR
HG02332 HG02332 AFR
HG02334 HG02334 AFR
HG02337 HG02337 AFR
HG02339 HG02339 AFR
HG02343 HG02343 AFR
HG02345 HG02345 AMR
HG02348 HG02348 AMR
HG02351 HG02351 EAS
HG02353 HG02353 EAS
HG02355 HG02355 EAS
HG02356 HG02356 EAS
HG02360 HG02360 EAS
HG02364 HG02364 EAS
HG02367 HG02367 EAS
HG02371 HG02371 EAS
HG02373 HG02373 EAS
HG02374 HG02374 EAS
HG02375 HG02375 EAS
HG02379 HG02379 EAS
HG02380 HG02380 EAS
HG02382 HG02382 EAS
HG02383 HG02383 EAS
HG02384 HG02384 EAS
HG02385 HG02385 EAS
HG02386 HG02386 EAS
HG02389 HG02389 EAS
HG02390 HG02390 EAS
HG02391 HG02391 EAS
HG02392 HG02392 EAS
HG02394 HG02394 EAS
HG02395 HG02395 EAS
HG02396 HG02396 EAS
HG02397 HG02397 EAS
HG02398 HG02398 EAS
HG02399 HG02399 EAS
HG02401 HG02401 EAS
HG02402 HG02402 EAS
HG02406 HG02406 EAS
HG02407 HG02407 EAS
HG02408 HG02408 EAS
HG02409 HG02409 EAS
HG02410 HG02410 EAS
HG02419 HG02419 AFR
HG02420 HG02420 AFR
HG02425 HG02425 AMR
HG02427 HG02427 AFR
HG02429 HG02429 AFR
HG02433 HG02433 AFR
HG02439 HG02439 AFR
HG02442 HG02442 AFR
HG02445 HG02445 AFR
HG02449 HG02449 AFR
HG02450 HG02450 AFR
HG02455 HG02455 AFR
HG02461 HG02461 AFR
HG02462 HG02462 AFR
HG02464 HG02464 AFR
HG02465 HG02465 AFR
HG02470 HG02470 AFR
HG02471 HG02471 AFR
HG02476 HG02476 AFR
HG02477 HG02477 AFR
HG02479 HG02479 AFR
HG02481 HG02481 AFR
HG02484 HG02484 AFR
HG02485 HG02485 AFR
HG02489 HG02489 AFR
HG02490 HG02490 SAS
HG02491 HG02491 SAS
HG02493 HG02493 SAS
HG02494 HG02494 SAS
HG02496 HG02496 AFR
