trait,delta,candidate,mean,sd,lo95,hi95,source
COPD,0.01,MELD_lambda1_afproj,0.883257890434201,0.0115510341629501,0.859319888767551,0.904107353939607,R8_1KG_on_R9blocks
COPD,0.01,EUR,0.856362207218033,0.0144974367024329,0.82735479597625,0.883405465025939,R8_1KG_on_R9blocks
COPD,0.01,EAS,0.7714612260268,0.0193363718958138,0.732627244562253,0.80797307995876,R8_1KG_on_R9blocks
COPD,0.01,AFR,0.661292102107774,0.0206905837738808,0.621192807929812,0.701930309504112,R8_1KG_on_R9blocks
COPD,0.01,CSA,0.828943161238191,0.0137305494413006,0.801182786156772,0.854239078924323,R8_1KG_on_R9blocks
COPD,0.01,AMR,0.813195713481166,0.0210297311711971,0.768428841945791,0.850595510036929,R8_1KG_on_R9blocks
Gout,0.01,MELD_lambda0_afproj,0.888391126721899,0.0110634653635814,0.864955990997841,0.90783824123544,R8_1KG_on_R9blocks
Gout,0.01,MELD_lambda0_reportN,0.888050043196266,0.0112389988969065,0.864143303965481,0.908350008441898,R8_1KG_on_R9blocks
Gout,0.01,MELD_lambda0_equal,0.87631025355042,0.0115740207237827,0.852136652991663,0.896879201318381,R8_1KG_on_R9blocks
Gout,0.01,MELD_lambda1_afproj,0.886088131985503,0.0109345003983761,0.862514435125571,0.906433450243733,R8_1KG_on_R9blocks
Gout,0.01,EUR,0.854961132749808,0.0130660416821305,0.82830483607213,0.878711315505209,R8_1KG_on_R9blocks
Gout,0.01,EAS,0.801271503018957,0.0142113318513291,0.774098802953768,0.829444101372189,R8_1KG_on_R9blocks
Gout,0.01,AFR,0.643165893817764,0.0256774898880465,0.594624056572477,0.69333029585397,R8_1KG_on_R9blocks
Gout,0.01,CSA,0.824989672257346,0.0140082319406185,0.79715461917654,0.85140556275372,R8_1KG_on_R9blocks
Gout,0.01,AMR,0.813496033185843,0.0166497879539643,0.779168696187362,0.845575177318299,R8_1KG_on_R9blocks
HF,0.01,MELD_lambda0_afproj,0.902148811312133,0.0101806456036048,0.881120157178025,0.921483632389327,R8_1KG_on_R9blocks
HF,0.01,MELD_lambda0_reportN,0.901743180918878,0.00978713716327289,0.88151065684305,0.91910960179427,R8_1KG_on_R9blocks
HF,0.01,MELD_lambda0_equal,0.887417852847001,0.0105847522162191,0.865558707382341,0.907654466343985,R8_1KG_on_R9blocks
