chr,block_id,afr_treatment,w_eur,af_bin,m_bin,af_bin_lo,af_bin_hi,r2_l0,r2_l1,diff
22,5,original,0.75,2,139,0.0930436863734006,0.232127863218786,0.797947640460481,0.781827838129263,-0.0161198023312183
22,5,original,0.75,3,139,0.232127863218786,0.635226954328944,0.812728758308109,0.801561044187932,-0.0111677141201777
22,5,original,0.5,1,139,0.000446553656486409,0.0930436863734006,0.656804689752184,0.650080831664649,-0.00672385808753517
22,5,original,0.5,2,139,0.0930436863734006,0.232127863218786,0.77771278637674,0.759528469262898,-0.0181843171138421
22,5,original,0.5,3,139,0.232127863218786,0.635226954328944,0.811397606201514,0.802671493996264,-0.00872611220525032
22,5,original,0.25,1,139,0.000446553656486409,0.0930436863734006,0.598060908447937,0.591657819372803,-0.0064030890751331
22,5,original,0.25,2,139,0.0930436863734006,0.232127863218786,0.790573191638866,0.777754915771025,-0.0128182758678406
22,5,original,0.25,3,139,0.232127863218786,0.635226954328944,0.809349539011859,0.802112495191847,-0.00723704382001233
22,5,corrected,0.75,1,139,0.000374658517792087,0.0780636528672831,0.723985996037303,0.72238118607183,-0.00160480996547263
22,5,corrected,0.75,2,139,0.0780636528672831,0.194755277240562,0.795811391558043,0.778015066764511,-0.0177963247935328
22,5,corrected,0.75,3,139,0.194755277240562,0.532955414681984,0.809449542986605,0.800439308717241,-0.00901023426936487
22,5,corrected,0.5,1,139,0.000374658517792087,0.0780636528672831,0.655470641518275,0.649654426347863,-0.00581621517041209
22,5,corrected,0.5,2,139,0.0780636528672831,0.194755277240562,0.771125629485799,0.75074220273968,-0.0203834267461195
22,5,corrected,0.5,3,139,0.194755277240562,0.532955414681984,0.808810580386832,0.802471020942117,-0.0063395594447152
22,5,corrected,0.25,1,139,0.000374658517792087,0.0780636528672831,0.602704533951425,0.596696617494313,-0.00600791645711163
22,5,corrected,0.25,2,139,0.0780636528672831,0.194755277240562,0.780840647294591,0.764843336264124,-0.0159973110304673
22,5,corrected,0.25,3,139,0.194755277240562,0.532955414681984,0.809688722636289,0.804264948847404,-0.00542377378888559
22,6,original,0.75,1,160,0.00115186221367372,0.0750713994288046,0.828349903590914,0.827330594113085,-0.00101930947782958
22,6,original,0.75,2,160,0.0750713994288046,0.21515744302617,0.936904352474301,0.936468066726097,-0.000436285748203868
22,6,original,0.75,3,160,0.21515744302617,0.738850760622487,0.906946342323193,0.906401520319853,-0.000544822003339496
22,6,original,0.5,1,160,0.00115186221367372,0.0750713994288046,0.670888779299489,0.670419521195015,-0.000469258104473513
22,6,original,0.5,2,160,0.0750713994288046,0.21515744302617,0.89961142926804,0.898601362696995,-0.00101006657104519
22,6,original,0.5,3,160,0.21515744302617,0.738850760622487,0.811233167674516,0.812337222497961,0.00110405482344522
22,6,original,0.25,1,160,0.00115186221367372,0.0750713994288046,0.572674661847605,0.574239943681918,0.00156528183431315
