trait,sweep_kind,sweep_id,best_sp_name,adv,adv_lo,adv_hi,eff_groups,mean_B_diag
Gout,EUR_EAS,EUR_EAS_08,EUR,0.0490923120213837,0.0384261198253882,0.0592855989188516,1.72413793103448,0.0297145290349794
Gout,EUR_EAS,EUR_EAS_09,EUR,0.0358305261165829,0.0267421617052875,0.0465310417383445,1.47058823529412,0.0226396411695081
Gout,EUR_EAS,EUR_EAS_10,EUR,0.0188857382942466,0.012902363318978,0.0250875146541224,1.21951219512195,0.0127347981578483
Gout,EUR_EAS,EUR_EAS_11,EUR,-2.27905430787837e-15,-3.61524911339965e-15,-1.05206319246014e-15,1,0
Gout,multi,equal,EUR,0.126747069141374,0.103520740418327,0.151975320155719,4,0.0470738794674354
Gout,multi,reported,EUR,0.0470587574819238,0.0361066083049905,0.0572503961194366,1.72033204900231,0.0290824403548026
Gout,multi,w25rest,EUR,0.132308896821862,0.109689165883798,0.154462218719528,4,0.0470738794674354
Gout,multi,w50rest,EUR,0.0959741454583228,0.0738689807968384,0.120764677685481,3,0.0384870793439142
HF,EUR_AFR,EUR_AFR_01,AFR,-4.94341796521307e-05,-0.000165720012074261,8.49968917348639e-06,1,0
HF,EUR_AFR,EUR_AFR_02,AFR,0.0564332801296354,0.0404712480291926,0.0726744469646236,1.21951219512195,0.0141084919076383
HF,EUR_AFR,EUR_AFR_03,AFR,0.0966174958174257,0.0729012074811923,0.117805306573903,1.47058823529412,0.025081763391357
HF,EUR_AFR,EUR_AFR_04,AFR,0.108447425600162,0.0803512040758391,0.135750305099489,1.72413793103448,0.032919814451156
HF,EUR_AFR,EUR_AFR_05,EUR,0.116996695512637,0.0928628045341135,0.14211622323853,1.92307692307692,0.0376226450870355
HF,EUR_AFR,EUR_AFR_06,EUR,0.102697597691206,0.0823768476611359,0.124050423023273,2,0.0391902552989953
HF,EUR_AFR,EUR_AFR_07,EUR,0.102634537717662,0.0837537218401878,0.1226679482407,1.92307692307692,0.0376226450870355
HF,EUR_AFR,EUR_AFR_08,EUR,0.051662571165686,0.0310236868193841,0.0709981335017917,1.72413793103448,0.032919814451156
HF,EUR_AFR,EUR_AFR_09,EUR,0.0525127315163234,0.0392931814150404,0.0662407801202251,1.47058823529412,0.025081763391357
HF,EUR_AFR,EUR_AFR_10,EUR,0.0234631835711391,0.0153231734180476,0.0313117409381755,1.21951219512195,0.0141084919076383
HF,EUR_AFR,EUR_AFR_11,EUR,1.465943706294e-15,-4.31355747724618e-16,3.50367538987841e-15,1,0
HF,EUR_EAS,EUR_EAS_01,EAS,1.0307049331673e-15,-4.79084947643475e-16,2.60295933502732e-15,1,0
HF,EUR_EAS,EUR_EAS_02,EAS,0.0254125033075909,0.0166341876844891,0.0340307040554194,1.21951219512195,0.0131869490408634
HF,EUR_EAS,EUR_EAS_03,EAS,0.0390904175288314,0.0246695380811657,0.0556694882616647,1.47058823529412,0.0234434649615349
HF,EUR_EAS,EUR_EAS_04,EAS,0.0532997183338874,0.0392532518061669,0.0683601264101952,1.72413793103448,0.0307695477620146
HF,EUR_EAS,EUR_EAS_05,EAS,0.0591141159748724,0.0454263127513035,0.0734874297904424,1.92307692307692,0.0351651974423024
HF,EUR_EAS,EUR_EAS_06,EUR,0.0763319490203262,0.0602139795886674,0.0930766200831122,2,0.0366304140023983
HF,EUR_EAS,EUR_EAS_07,EUR,0.0617902766371962,0.0511038826092679,0.0727103698535328,1.92307692307692,0.0351651974423024
HF,EUR_EAS,EUR_EAS_08,EUR,0.0420852872559006,0.0325605227753217,0.0526092483108924,1.72413793103448,0.0307695477620146
HF,EUR_EAS,EUR_EAS_09,EUR,0.0299518575756896,0.0221749993725534,0.038105168172785,1.47058823529412,0.0234434649615349
HF,EUR_EAS,EUR_EAS_10,EUR,0.0197812178458481,0.0143308548127199,0.0252075627502274,1.21951219512195,0.0131869490408634
HF,EUR_EAS,EUR_EAS_11,EUR,1.33770119164718e-16,-1.28894712840938e-15,1.73072845219547e-15,1,0
HF,multi,equal,EUR,0.106922387242989,0.0780035139219432,0.138921843430011,4,0.0490148770810798
HF,multi,reported,EUR,0.0374063439166028,0.0255102443998081,0.0499765915694063,1.58057109577478,0.0263927771542323
HF,multi,w25rest,EUR,0.120173210507922,0.0950512815296586,0.146926781416504,4,0.0490148770810798
HF,multi,w50rest,EUR,0.0717084762819293,0.0565327676509399,0.0867214127273539,3,0.0399403830590689
IPF,EUR_AFR,EUR_AFR_01,AFR,0.000388725922169854,-6.64695362780964e-11,0.00124724329716357,1,0
IPF,EUR_AFR,EUR_AFR_02,AFR,0.061646621560187,0.0417190324397223,0.0801395820598153,1.21951219512195,0.01322727546054
IPF,EUR_AFR,EUR_AFR_03,AFR,0.0828945632922215,0.059795619818657,0.105070368633884,1.47058823529412,0.0235151563742934
IPF,EUR_AFR,EUR_AFR_04,AFR,0.111601026116364,0.0900313917502917,0.132519277751461,1.72413793103448,0.03086364274126
IPF,EUR_AFR,EUR_AFR_05,AFR,0.110933923114422,0.0851818882742243,0.133913567932796,1.92307692307692,0.0352727345614401
IPF,EUR_AFR,EUR_AFR_06,AFR,0.160337321774581,0.124078476034591,0.195710897400232,2,0.0367424318348334
IPF,EUR_AFR,EUR_AFR_07,AFR,0.131599954958444,0.106930537760034,0.157794266911381,1.92307692307692,0.0352727345614401
IPF,EUR_AFR,EUR_AFR_08,EUR,0.139240792201153,0.119075726425782,0.160034611308809,1.72413793103448,0.03086364274126
IPF,EUR_AFR,EUR_AFR_09,EUR,0.109708600321607,0.0929425523009657,0.12641001583623,1.47058823529412,0.0235151563742934
IPF,EUR_AFR,EUR_AFR_10,EUR,0.0601554262049694,0.0457987238530477,0.0740456535874129,1.21951219512195,0.01322727546054
IPF,EUR_AFR,EUR_AFR_11,EUR,2.44368884999857e-16,-1.15425935321767e-15,1.59529681765781e-15,1,0
IPF,EUR_EAS,EUR_EAS_01,EAS,1.93624240837306e-16,-1.51532218186752e-15,1.77629581849547e-15,1,0
IPF,EUR_EAS,EUR_EAS_02,EAS,0.0372608821894787,0.0237452565545737,0.0507118847832673,1.21951219512195,0.0132446127632401
IPF,EUR_EAS,EUR_EAS_03,EAS,0.0515151655545468,0.0390830305442675,0.0635856221479227,1.47058823529412,0.0235459782457601
IPF,EUR_EAS,EUR_EAS_04,EAS,0.0748594817728524,0.056769821892595,0.0928297671450293,1.72413793103448,0.0309040964475602
IPF,EUR_EAS,EUR_EAS_05,EAS,0.0706259911216864,0.0584985227386774,0.0847307908357252,1.92307692307692,0.0353189673686402
