chr,block_id,w_eur,af_bin,m_bin,af_bin_lo,af_bin_hi,delta,r2_l0,r2_l1,diff
22,3,0.75,1,239,0.000107296137339064,0.0862006032523168,0.01,0.920617131350946,0.912974222021031,-0.00764290932991529
22,3,0.75,1,239,0.000107296137339064,0.0862006032523168,0.1,0.913737146382027,0.909961261176914,-0.00377588520511329
22,3,0.75,2,238,0.0862006032523168,0.227640321734569,0.001,0.844588669155877,0.84344265140988,-0.00114601774599721
22,3,0.75,2,238,0.0862006032523168,0.227640321734569,0.01,0.858560416825728,0.858590913626673,3.04968009449125e-05
22,3,0.75,2,238,0.0862006032523168,0.227640321734569,0.1,0.87613367466287,0.878613374046216,0.00247969938334547
22,3,0.75,3,238,0.227640321734569,0.705152003362286,0.001,0.931453455691314,0.949371155454464,0.0179176997631495
22,3,0.75,3,238,0.227640321734569,0.705152003362286,0.01,0.937659063819835,0.952816637051293,0.0151575732314579
22,3,0.75,3,238,0.227640321734569,0.705152003362286,0.1,0.949248355566982,0.955917932950115,0.00666957738313234
22,3,0.5,1,239,0.000107296137339064,0.0862006032523168,0.001,0.759527207326493,0.758201697314308,-0.00132551001218462
22,3,0.5,1,239,0.000107296137339064,0.0862006032523168,0.01,0.76573363220034,0.763758150947836,-0.00197548125250435
22,3,0.5,1,239,0.000107296137339064,0.0862006032523168,0.1,0.751980900849726,0.753419300022637,0.00143839917291044
22,3,0.5,2,238,0.0862006032523168,0.227640321734569,0.001,0.578567198720882,0.571732312665446,-0.00683488605543536
22,3,0.5,2,238,0.0862006032523168,0.227640321734569,0.01,0.592163203663785,0.585612063472266,-0.00655114019151881
22,3,0.5,2,238,0.0862006032523168,0.227640321734569,0.1,0.650697659096138,0.648709712497464,-0.00198794659867463
22,3,0.5,3,238,0.227640321734569,0.705152003362286,0.001,0.908427939770421,0.942496953021727,0.0340690132513061
22,3,0.5,3,238,0.227640321734569,0.705152003362286,0.01,0.906366212234515,0.938046280163615,0.0316800679290998
22,3,0.5,3,238,0.227640321734569,0.705152003362286,0.1,0.912957248891734,0.93462829109037,0.0216710421986359
22,3,0.25,1,239,0.000107296137339064,0.0862006032523168,0.001,0.575974874435167,0.589567940985971,0.0135930665508046
22,3,0.25,1,239,0.000107296137339064,0.0862006032523168,0.01,0.583434918011324,0.596119093992615,0.0126841759812908
22,3,0.25,1,239,0.000107296137339064,0.0862006032523168,0.1,0.57231909452767,0.586649767829442,0.014330673301772
22,3,0.25,2,238,0.0862006032523168,0.227640321734569,0.001,0.435748993619006,0.429854894165275,-0.00589409945373054
22,3,0.25,2,238,0.0862006032523168,0.227640321734569,0.01,0.442863199921715,0.436295683300093,-0.00656751662162186
22,3,0.25,2,238,0.0862006032523168,0.227640321734569,0.1,0.505700683199671,0.502211202615889,-0.00348948058378173
22,3,0.25,3,238,0.227640321734569,0.705152003362286,0.001,0.898853466101222,0.925611851352023,0.0267583852508014
22,3,0.25,3,238,0.227640321734569,0.705152003362286,0.01,0.883679031474218,0.9126928637122,0.0290138322379822
22,3,0.25,3,238,0.227640321734569,0.705152003362286,0.1,0.883932754104624,0.90905124902628,0.0251184949216555
22,4,0.75,1,270,0.00106989858366852,0.0843831963630005,0.001,0.815834995434984,0.809012781326521,-0.00682221410846318
22,4,0.75,1,270,0.00106989858366852,0.0843831963630005,0.01,0.823840608446112,0.818190514237576,-0.00565009420853579
22,4,0.75,1,270,0.00106989858366852,0.0843831963630005,0.1,0.813724708617868,0.808410161727288,-0.00531454689057942
22,4,0.75,2,269,0.0843831963630005,0.176173354898875,0.001,0.951898325007627,0.956540199453661,0.00464187444603337
22,4,0.75,2,269,0.0843831963630005,0.176173354898875,0.01,0.953714654313166,0.957188628305738,0.00347397399257232
22,4,0.75,2,269,0.0843831963630005,0.176173354898875,0.1,0.946514289765017,0.950204035960001,0.00368974619498441
22,4,0.75,3,270,0.176173354898875,0.59566386930443,0.001,0.848548363599891,0.854908157798387,0.00635979419849519
22,4,0.75,3,270,0.176173354898875,0.59566386930443,0.01,0.842498694332617,0.845038336451462,0.0025396421188445
22,4,0.75,3,270,0.176173354898875,0.59566386930443,0.1,0.823666655757484,0.820829613281957,-0.00283704247552685
