trait,sweep_kind,sweep_id,delta,candidate,mean,sd,lo95,hi95
IPF,EUR_AFR,EUR_AFR_04,0.001,EAS,0.288672613539654,0.0237241676701155,0.245974742617515,0.339355642252449
IPF,EUR_AFR,EUR_AFR_04,0.001,AFR,0.589652762367557,0.0322685299918594,0.526911842107037,0.653630712980838
IPF,EUR_AFR,EUR_AFR_04,0.001,AMR,0.400503814357169,0.0335942442658331,0.338972923827693,0.471432242320574
IPF,EUR_AFR,EUR_AFR_04,0.01,MELD_lambda0_true,0.791255056014731,0.0190352189579926,0.754604504711041,0.828867564347592
IPF,EUR_AFR,EUR_AFR_04,0.01,MELD_lambda0_equal,0.788249773590125,0.0169379931165555,0.755814753607256,0.822003484846747
IPF,EUR_AFR,EUR_AFR_04,0.01,MELD_lambda1_true,0.788110065973456,0.0195502005412193,0.74916567903615,0.825089417520205
IPF,EUR_AFR,EUR_AFR_04,0.01,MELD_lambda0_scrambled,0.767392794876476,0.0194894971639473,0.729117428195705,0.805513474056726
IPF,EUR_AFR,EUR_AFR_04,0.01,EUR,0.550364299477147,0.0204042955022045,0.511992385624999,0.592274555626686
IPF,EUR_AFR,EUR_AFR_04,0.01,EAS,0.477574187678845,0.0265342727672727,0.42684779200957,0.531358039537299
IPF,EUR_AFR,EUR_AFR_04,0.01,AFR,0.679654029898368,0.0267310906106158,0.628312674053834,0.731141257410896
IPF,EUR_AFR,EUR_AFR_04,0.01,AMR,0.557748801989732,0.0296085120935256,0.501024645247878,0.619554138072229
IPF,EUR_AFR,EUR_AFR_04,0.1,MELD_lambda0_true,0.801135322690951,0.0174525799262164,0.765022815161391,0.834829502346731
IPF,EUR_AFR,EUR_AFR_04,0.1,MELD_lambda0_equal,0.787707721465777,0.0173119837079962,0.753445591306678,0.821795012803079
IPF,EUR_AFR,EUR_AFR_04,0.1,MELD_lambda1_true,0.798014580749794,0.0173868926941637,0.763116693063443,0.831739362872981
IPF,EUR_AFR,EUR_AFR_04,0.1,MELD_lambda0_scrambled,0.781322150576784,0.0171991474601579,0.747404275422722,0.816212078046328
IPF,EUR_AFR,EUR_AFR_04,0.1,EUR,0.618808918025662,0.0187203529057462,0.583236243122594,0.655051244303308
IPF,EUR_AFR,EUR_AFR_04,0.1,EAS,0.5649718277055,0.0243983123124925,0.516602593743683,0.613117972348022
IPF,EUR_AFR,EUR_AFR_04,0.1,AFR,0.722035926045158,0.0220300224622886,0.679572369286758,0.765043516015836
IPF,EUR_AFR,EUR_AFR_04,0.1,AMR,0.632744833746505,0.0226506716951275,0.58765710090305,0.676802786457804
IPF,EUR_AFR,EUR_AFR_05,0.001,MELD_lambda0_true,0.76479244782331,0.0197369033247334,0.725687212625287,0.802765472900218
IPF,EUR_AFR,EUR_AFR_05,0.001,MELD_lambda0_equal,0.770311341101936,0.0172439793705154,0.737167848000479,0.803587127791602
IPF,EUR_AFR,EUR_AFR_05,0.001,MELD_lambda1_true,0.763005255258584,0.0197287333845178,0.725378236670208,0.800442221363507
IPF,EUR_AFR,EUR_AFR_05,0.001,MELD_lambda0_scrambled,0.725870009729687,0.0218554447348115,0.684903222829175,0.770781637395217
IPF,EUR_AFR,EUR_AFR_05,0.001,EUR,0.402212524640919,0.0271769792220945,0.349266589821811,0.45563112460027
IPF,EUR_AFR,EUR_AFR_05,0.001,EAS,0.315220991863326,0.0263553813079204,0.266393559617293,0.371326437454489
IPF,EUR_AFR,EUR_AFR_05,0.001,AFR,0.589847552765337,0.029644238521387,0.536289185884614,0.649089099533058
IPF,EUR_AFR,EUR_AFR_05,0.001,AMR,0.456070460129355,0.0317163417175446,0.401902709368264,0.527586416567202
IPF,EUR_AFR,EUR_AFR_05,0.01,MELD_lambda0_true,0.796458146469818,0.0172962139996666,0.761739092842324,0.829551125885759
IPF,EUR_AFR,EUR_AFR_05,0.01,MELD_lambda0_equal,0.792240616822122,0.016020680616881,0.760488855765626,0.82308657461893
IPF,EUR_AFR,EUR_AFR_05,0.01,MELD_lambda1_true,0.797007859494872,0.0168983328448393,0.765668553559434,0.830401490786959
IPF,EUR_AFR,EUR_AFR_05,0.01,MELD_lambda0_scrambled,0.772017655283,0.0173900803920481,0.738858662802257,0.806247499716667
IPF,EUR_AFR,EUR_AFR_05,0.01,EUR,0.563487553399353,0.0221850171351102,0.521639539318536,0.608155037343959
IPF,EUR_AFR,EUR_AFR_05,0.01,EAS,0.487261080857751,0.0243427591667648,0.441126724789959,0.536661801834723
IPF,EUR_AFR,EUR_AFR_05,0.01,AFR,0.685524223355396,0.0238915573756523,0.639965838993158,0.735552125709823
IPF,EUR_AFR,EUR_AFR_05,0.01,AMR,0.577067763177399,0.0266344815998826,0.529028503376695,0.634387969361861
IPF,EUR_AFR,EUR_AFR_05,0.1,MELD_lambda0_true,0.798932313142684,0.0163894175952963,0.766073600286265,0.830103104458698
