chr,block_id,m,w_eur,perm,delta,r2
22,6,480,0.25,8,0.001,0.614477012087792
22,6,480,0.25,8,0.01,0.715176125843208
22,6,480,0.25,8,0.1,0.744754809734803
22,7,948,0.75,1,0.001,0.55470293893786
22,7,948,0.75,1,0.01,0.745569332288882
22,7,948,0.75,1,0.1,0.780637403998942
22,7,948,0.5,1,0.001,0.471352804828117
22,7,948,0.5,1,0.01,0.617783672086521
22,7,948,0.5,1,0.1,0.659836450169365
22,7,948,0.25,1,0.001,0.437738614060268
22,7,948,0.25,1,0.01,0.582564922592812
22,7,948,0.25,1,0.1,0.638104128551132
22,7,948,0.75,2,0.001,0.582966672767947
22,7,948,0.75,2,0.01,0.753115899383005
22,7,948,0.75,2,0.1,0.798246927065371
22,7,948,0.5,2,0.001,0.457480985827122
22,7,948,0.5,2,0.01,0.627873360821511
22,7,948,0.5,2,0.1,0.686327816212307
22,7,948,0.25,2,0.001,0.40882553289051
22,7,948,0.25,2,0.01,0.580304629634011
22,7,948,0.25,2,0.1,0.648927435746354
22,7,948,0.75,3,0.001,0.641906834118155
22,7,948,0.75,3,0.01,0.805010745612972
22,7,948,0.75,3,0.1,0.814000770196182
22,7,948,0.5,3,0.001,0.520686550438909
22,7,948,0.5,3,0.01,0.694632555713543
22,7,948,0.5,3,0.1,0.715404959736481
22,7,948,0.25,3,0.001,0.432275858973706
22,7,948,0.25,3,0.01,0.626269141546602
22,7,948,0.25,3,0.1,0.680494303827709
22,7,948,0.75,4,0.001,0.655546478150725
22,7,948,0.75,4,0.01,0.767712066823529
22,7,948,0.75,4,0.1,0.788098538302479
22,7,948,0.5,4,0.001,0.55921620489451
22,7,948,0.5,4,0.01,0.65860481105694
22,7,948,0.5,4,0.1,0.678945608351692
22,7,948,0.25,4,0.001,0.488049947667418
22,7,948,0.25,4,0.01,0.605833145869692
22,7,948,0.25,4,0.1,0.647247470443425
22,7,948,0.75,5,0.001,0.629156297798463
22,7,948,0.75,5,0.01,0.751432202581067
22,7,948,0.75,5,0.1,0.775592322454489
22,7,948,0.5,5,0.001,0.533401713139573
22,7,948,0.5,5,0.01,0.636762901606444
22,7,948,0.5,5,0.1,0.668823573215448
22,7,948,0.25,5,0.001,0.481831794965783
22,7,948,0.25,5,0.01,0.599772306257123
22,7,948,0.25,5,0.1,0.651987377266845
22,7,948,0.75,6,0.001,0.550756746168197
22,7,948,0.75,6,0.01,0.733662981897626
22,7,948,0.75,6,0.1,0.780242352009933
22,7,948,0.5,6,0.001,0.486282883277395
22,7,948,0.5,6,0.01,0.636763369811578
22,7,948,0.5,6,0.1,0.669888547215707
22,7,948,0.25,6,0.001,0.456450739980947
22,7,948,0.25,6,0.01,0.604105445767299
22,7,948,0.25,6,0.1,0.647287849943252
22,7,948,0.75,7,0.001,0.581338093975062
22,7,948,0.75,7,0.01,0.774838184503349
22,7,948,0.75,7,0.1,0.809567921174172
22,7,948,0.5,7,0.001,0.505208274981998
22,7,948,0.5,7,0.01,0.669724041887867
22,7,948,0.5,7,0.1,0.70503412357518
22,7,948,0.25,7,0.001,0.483927790186663
22,7,948,0.25,7,0.01,0.628935010278398
22,7,948,0.25,7,0.1,0.675417467207899
22,7,948,0.75,8,0.001,0.600468623916044
22,7,948,0.75,8,0.01,0.787663273057703
22,7,948,0.75,8,0.1,0.817114884460842
22,7,948,0.5,8,0.001,0.509872904533532
22,7,948,0.5,8,0.01,0.680233630819054
22,7,948,0.5,8,0.1,0.71214291681103
22,7,948,0.25,8,0.001,0.466698601192685
22,7,948,0.25,8,0.01,0.63380055794438
22,7,948,0.25,8,0.1,0.679711355309914
22,8,863,0.75,1,0.001,0.661080952484796
22,8,863,0.75,1,0.01,0.820928293082002
22,8,863,0.75,1,0.1,0.845589604538496
22,8,863,0.5,1,0.001,0.574798431087104
22,8,863,0.5,1,0.01,0.790139754264917
22,8,863,0.5,1,0.1,0.830843149464977
22,8,863,0.25,1,0.001,0.548460895335773
22,8,863,0.25,1,0.01,0.785126679654648
22,8,863,0.25,1,0.1,0.821778083271843
22,8,863,0.75,2,0.001,0.669561353601022
22,8,863,0.75,2,0.01,0.813520188607644
22,8,863,0.75,2,0.1,0.83454174894221
22,8,863,0.5,2,0.001,0.596459786741302
22,8,863,0.5,2,0.01,0.790897171518332
22,8,863,0.5,2,0.1,0.821914516260502
22,8,863,0.25,2,0.001,0.567311503623276
22,8,863,0.25,2,0.01,0.793453077133731
22,8,863,0.25,2,0.1,0.814072888208259
22,8,863,0.75,3,0.001,0.664832987534415
22,8,863,0.75,3,0.01,0.805980457588361
22,8,863,0.75,3,0.1,0.833270489403621
22,8,863,0.5,3,0.001,0.58254542236856
22,8,863,0.5,3,0.01,0.788825974736336
22,8,863,0.5,3,0.1,0.821587753395262
22,8,863,0.25,3,0.001,0.548336607526976
22,8,863,0.25,3,0.01,0.783601122855841
22,8,863,0.25,3,0.1,0.812909586171958
22,8,863,0.75,4,0.001,0.601286764746552
22,8,863,0.75,4,0.01,0.794051883499878
22,8,863,0.75,4,0.1,0.831025738956953
22,8,863,0.5,4,0.001,0.517140904522173
22,8,863,0.5,4,0.01,0.784828818852817
22,8,863,0.5,4,0.1,0.826760270759371
22,8,863,0.25,4,0.001,0.514420963475493
22,8,863,0.25,4,0.01,0.789629223033043
22,8,863,0.25,4,0.1,0.819266658693148
22,8,863,0.75,5,0.001,0.592340864974032
22,8,863,0.75,5,0.01,0.794320886688756
22,8,863,0.75,5,0.1,0.843749881925354
22,8,863,0.5,5,0.001,0.50152258519074
22,8,863,0.5,5,0.01,0.759509290143173
22,8,863,0.5,5,0.1,0.82112808036492
22,8,863,0.25,5,0.001,0.498544742680288
22,8,863,0.25,5,0.01,0.758739099772299
22,8,863,0.25,5,0.1,0.806785968908001
22,8,863,0.75,6,0.001,0.658392917318785
22,8,863,0.75,6,0.01,0.806308052716062
22,8,863,0.75,6,0.1,0.83625473467588
22,8,863,0.5,6,0.001,0.554339934033338
22,8,863,0.5,6,0.01,0.772928638356224
22,8,863,0.5,6,0.1,0.819871200931001
22,8,863,0.25,6,0.001,0.532056817835176
22,8,863,0.25,6,0.01,0.774556101959761
22,8,863,0.25,6,0.1,0.811395237729798
22,8,863,0.75,7,0.001,0.665210925477105
22,8,863,0.75,7,0.01,0.815751186507533
22,8,863,0.75,7,0.1,0.832174598546786
22,8,863,0.5,7,0.001,0.565667333487233
22,8,863,0.5,7,0.01,0.797445975301483
22,8,863,0.5,7,0.1,0.82537773926419
22,8,863,0.25,7,0.001,0.531571275769205
22,8,863,0.25,7,0.01,0.791204843211721
22,8,863,0.25,7,0.1,0.819479060092478
22,8,863,0.75,8,0.001,0.640911823862254
22,8,863,0.75,8,0.01,0.803669515664369
22,8,863,0.75,8,0.1,0.835799212962946
22,8,863,0.5,8,0.001,0.563007734707413
22,8,863,0.5,8,0.01,0.760918465491188
22,8,863,0.5,8,0.1,0.809176741325044
22,8,863,0.25,8,0.001,0.536992121703849
22,8,863,0.25,8,0.01,0.760886605712657
22,8,863,0.25,8,0.1,0.800014962906935
22,9,733,0.75,1,0.001,0.872809577883653
